,Dry_p,Wet_p,Country,Season,Year
0,0.0029027684501156635,0.00017909111260353705,Ethiopia,DJF,2005
1,0.013001138785879055,0.019147662568984144,Ethiopia,MAM,2005
2,0.009847577890034164,0.008613893187724472,Ethiopia,JJA,2005
3,0.012701200746868981,0.0008560948789289957,Ethiopia,SON,2005
4,0.003399167002552734,0.017358591965605265,Somalia,DJF,2005
5,0.007623153356816151,0.005415067556910783,Somalia,MAM,2005
6,0.0036407128962725405,0.00887177330319121,Somalia,JJA,2005
7,0.010989010989010988,0.00045178521599319665,Somalia,SON,2005
8,0.018061088977423638,2.9511583296443856e-05,Kenya,DJF,2005
9,0.018520122408915065,0.004215023962122524,Kenya,MAM,2005
10,0.013525607714071252,0.04337721577458283,Kenya,JJA,2005
11,0.013323993403674678,0.0021306714533806167,Kenya,SON,2005
12,0.002619207521826729,0.01767778523990747,Ethiopia,DJF,2006
13,0.00792040178701784,0.002496569042543872,Ethiopia,MAM,2006
14,0.005474932110841825,0.013899027652057111,Ethiopia,JJA,2006
15,0.011166134067410093,0.02922530793585193,Ethiopia,SON,2006
16,0.0005508531506113126,0.012777106005642885,Somalia,DJF,2006
17,0.0029835445034435623,0.0006308816571158194,Somalia,MAM,2006
18,0.010120393249566269,0.005283633878344987,Somalia,JJA,2006
19,0.005288544587214479,0.04022217202386489,Somalia,SON,2006
20,0.018238158477202303,0.025571786926368602,Kenya,DJF,2006
21,0.002973612795196027,0.00508112477625729,Kenya,MAM,2006
22,0.010927305271666955,0.011490270800854553,Kenya,JJA,2006
23,0.015206572975497278,0.03563766910380456,Kenya,SON,2006
24,0.007626296545033951,0.008029251548391911,Ethiopia,DJF,2007
25,0.010964464040645895,0.001328583525564283,Ethiopia,MAM,2007
26,0.0068838146406984555,0.05123806464799836,Ethiopia,JJA,2007
27,0.009793430209817048,0.01768278732684374,Ethiopia,SON,2007
28,0.001021093645035604,0.018312508397151685,Somalia,DJF,2007
29,0.00796488092108722,0.010580411124546553,Somalia,MAM,2007
30,0.009121497292466222,0.0328058461700226,Somalia,JJA,2007
31,0.014178083101904142,0.04844732051503515,Somalia,SON,2007
32,0.0033790762874428212,0.05230928139294673,Kenya,DJF,2007
33,0.019415093250187657,0.0019631618453721344,Kenya,MAM,2007
34,0.015936254980079678,0.13170506380276,Kenya,JJA,2007
35,0.009048056856821798,0.03375508953198196,Kenya,SON,2007
36,0.012686440490335722,0.005512955815172069,Ethiopia,DJF,2008
37,0.03762373346570502,0.01106666277338161,Ethiopia,MAM,2008
38,0.005591730662539785,0.013899027652057114,Ethiopia,JJA,2008
39,0.006627355183433089,0.06369050694101064,Ethiopia,SON,2008
40,0.012238064233227475,0.00584663220697078,Somalia,DJF,2008
41,0.035513379948478,0.000368014299984228,Somalia,MAM,2008
42,0.004429314967667315,0.023736922348982704,Somalia,JJA,2008
43,0.005235393385332926,0.027718351781229653,Somalia,SON,2008
44,0.06521897756957518,0.009821519781679144,Kenya,DJF,2008
45,0.02429412783648017,0.004099543853571222,Kenya,MAM,2008
46,0.007895952422195276,0.004258329002829263,Kenya,JJA,2008
47,0.00429053018694453,0.005691519635742743,Kenya,SON,2008
48,0.0036937541974479517,0.01620028356092829,Ethiopia,DJF,2009
49,0.028973340730574944,0.0028907641545244836,Ethiopia,MAM,2009
50,0.018600169357899963,0.001211784973866324,Ethiopia,JJA,2009
51,0.060096384475162176,0.0018007512970575428,Ethiopia,SON,2009
52,0.002888620180034932,0.006072820099422276,Somalia,DJF,2009
53,0.013353661742284844,0.005139056831922612,Somalia,MAM,2009
54,0.00703170180327007,0.004166447610535725,Somalia,JJA,2009
55,0.006803353840838726,0.01752660882044195,Somalia,SON,2009
56,0.004648074369189907,0.006905710491367864,Kenya,DJF,2009
57,0.022403141058952594,0.0,Kenya,MAM,2009
58,0.030226918413303307,0.0009094058548415034,Kenya,JJA,2009
59,0.01174788027377669,0.016884841586036804,Kenya,SON,2009
60,0.009670920080591,0.018998582195358556,Ethiopia,DJF,2010
61,0.01010307472187345,0.07843752737466056,Ethiopia,MAM,2010
62,0.00870149210149794,0.006285222063246416,Ethiopia,JJA,2010
63,0.019675421958833646,0.0038745673399803696,Ethiopia,SON,2010
64,0.0019615746338841867,0.008921133951363697,Somalia,DJF,2010
65,0.0012223332106619,0.1037668892276957,Somalia,MAM,2010
66,0.0043635981283844175,0.007938594185374062,Somalia,JJA,2010
67,0.00970009434338334,0.004092642544879546,Somalia,SON,2010
68,0.00864689390585805,0.02852294525601298,Kenya,DJF,2010
69,0.004128413880709048,0.07354639413361047,Kenya,MAM,2010
70,0.012572896818523006,0.008920838385588083,Kenya,JJA,2010
71,0.004596996628869139,0.0007734629248573472,Kenya,SON,2010
72,0.004223565405566749,0.01708827699425416,Ethiopia,DJF,2011
73,0.05653049902181213,0.0018395771892428532,Ethiopia,MAM,2011
74,0.0020877741116010163,0.017483283207288227,Ethiopia,JJA,2011
75,0.0044502173447774525,0.029660735503583054,Ethiopia,SON,2011
76,0.0007120784629853553,0.008061265618702136,Somalia,DJF,2011
77,0.04194048683034541,0.0003943010356973871,Somalia,MAM,2011
78,0.010882708585247884,0.006755691078281897,Somalia,JJA,2011
79,0.002790438098781509,0.017433594217149236,Somalia,SON,2011
80,0.0033348089124981555,0.053696325807879586,Kenya,DJF,2011
81,0.061074542410069856,0.0,Kenya,MAM,2011
82,0.005745135400427276,0.02142156013626653,Kenya,JJA,2011
83,0.010638763626811435,0.08570844825824905,Kenya,SON,2011
