,Dry_p,Wet_p,Country,Season,Year
0,0.04843427804152879,0.008300963890087757,Ethiopia,DJF,2005
1,0.001773282543018521,0.054225854271828265,Ethiopia,MAM,2005
2,0.023479574412189674,0.05432436996866262,Ethiopia,JJA,2005
3,0.06715295925481511,0.0035713100020393937,Ethiopia,SON,2005
4,0.02189517170152337,0.04814527928393149,Somalia,DJF,2005
5,0.0006314619607314856,0.09476981106658136,Somalia,MAM,2005
6,0.019314316505573706,0.08868251776512982,Somalia,JJA,2005
7,0.07670176454064911,0.0004936968531081621,Somalia,SON,2005
8,0.09529046813310772,0.00028200789622109416,Kenya,DJF,2005
9,0.006952107702493931,0.008782093724711249,Kenya,MAM,2005
10,0.009646509232693296,0.04141837710586332,Kenya,JJA,2005
11,0.08018631115077815,0.003988397389412618,Kenya,SON,2005
12,0.017915887402292236,0.025463962019853258,Ethiopia,DJF,2006
13,0.016161265504494194,0.05712972171661256,Ethiopia,MAM,2006
14,0.010212793905162222,0.032266236325083034,Ethiopia,JJA,2006
15,0.01029656575621185,0.03051027522326616,Ethiopia,SON,2006
16,0.007840605904122557,0.061296152853085456,Somalia,DJF,2006
17,0.0048075303943690435,0.03078166571245748,Somalia,MAM,2006
18,0.023018893341865087,0.029266157006701914,Somalia,JJA,2006
19,0.0035665341629710335,0.044245452456141844,Somalia,SON,2006
20,0.056580184245158864,0.03411355517954503,Kenya,DJF,2006
21,3.678363863753403e-05,0.022594350033105278,Kenya,MAM,2006
22,0.03164312513793864,0.010878761127050688,Kenya,JJA,2006
23,0.02090887116267827,0.011453859169595208,Kenya,SON,2006
24,0.044041624706277274,0.013427324605572341,Ethiopia,DJF,2007
25,0.00455986939633334,0.008828882925822372,Ethiopia,MAM,2007
26,0.007965697772607007,0.055591000356533006,Ethiopia,JJA,2007
27,0.021759854301934577,0.036073550963494856,Ethiopia,SON,2007
28,0.0031069799466391253,0.04050262501075824,Somalia,DJF,2007
29,0.009210925133869936,0.012991277405449097,Somalia,MAM,2007
30,0.008890984407099317,0.02125921934462668,Somalia,JJA,2007
31,0.004775240251615155,0.027876848171193642,Somalia,SON,2007
32,0.021695807482609516,0.029751833051325435,Kenya,DJF,2007
33,0.015559479143676891,0.008864856911645699,Kenya,MAM,2007
34,0.003512837489884499,0.020175825792687414,Kenya,JJA,2007
35,0.01325747011026199,0.004127851843587884,Kenya,SON,2007
36,0.035158195279041196,0.04734238571096577,Ethiopia,DJF,2008
37,0.1552513557636374,0.037590775177797374,Ethiopia,MAM,2008
38,0.04352048188249423,0.03277288848023119,Ethiopia,JJA,2008
39,0.022969262071549514,0.027721523189801138,Ethiopia,SON,2008
40,0.011074131136098606,0.06085239315293537,Somalia,DJF,2008
41,0.07327484592328158,0.036346950459704305,Somalia,MAM,2008
42,0.03288653891489577,0.010835887246152292,Somalia,JJA,2008
43,0.009192975885462331,0.06411249478639099,Somalia,SON,2008
44,0.005550287276175602,0.0017943139770550938,Kenya,DJF,2008
45,0.01148569116457,0.005260060325167365,Kenya,MAM,2008
46,0.07180166262046642,0.008276318693445155,Kenya,JJA,2008
47,0.002026738067347205,0.03557947974191629,Kenya,SON,2008
48,0.0437155325372848,0.004104924950846401,Ethiopia,DJF,2009
49,0.01768122196993864,0.031187254883563827,Ethiopia,MAM,2009
50,0.13221275637537294,0.012295697209660167,Ethiopia,JJA,2009
51,0.05773854975408709,0.0037515354735898547,Ethiopia,SON,2009
52,0.061012135295636455,0.006704535674326535,Somalia,DJF,2009
53,0.01827871888997407,0.02411342740713299,Somalia,MAM,2009
54,0.06787795103222981,0.01358906139494157,Somalia,JJA,2009
55,0.035886654012138135,0.035018428511844474,Somalia,SON,2009
56,0.101372438428276,0.004728332393307012,Kenya,DJF,2009
57,0.09176598249098801,0.0004689913926285587,Kenya,MAM,2009
58,0.08839108364599427,0.0009379827852571177,Kenya,JJA,2009
59,0.07800152470203232,0.010245253900076235,Kenya,SON,2009
60,0.043106507456960624,0.005553157819018846,Ethiopia,DJF,2010
61,0.00628623970276407,0.11131335497551179,Ethiopia,MAM,2010
62,0.004588016738286014,0.004625546527556248,Ethiopia,JJA,2010
63,0.01452712156208056,0.0090824152110298,Ethiopia,SON,2010
64,0.15452276443755916,0.007031586195025389,Somalia,DJF,2010
65,8.41949280975314e-06,0.17311319166133432,Somalia,MAM,2010
66,0.0006483009463509918,0.029569258747853027,Somalia,JJA,2010
67,0.1092261727428265,0.003643142295349886,Somalia,SON,2010
68,0.040618537319044926,0.022993043805226546,Kenya,DJF,2010
69,9.195909659383507e-05,0.07230743765173252,Kenya,MAM,2010
70,0.005020966674023394,0.0002758772897815052,Kenya,JJA,2010
71,0.009073836485003997,0.0,Kenya,SON,2010
72,0.013575984270848319,0.026245624130820502,Ethiopia,DJF,2011
73,0.09940233810587154,9.382447317558312e-06,Ethiopia,MAM,2011
74,0.004100129477772983,0.006417593965209885,Ethiopia,JJA,2011
75,0.00562967459816834,0.03543327626193401,Ethiopia,SON,2011
76,0.056571133488252,0.002427059127291505,Somalia,DJF,2011
77,0.1056141178055434,0.00025258478429259423,Somalia,MAM,2011
78,0.036128043646650725,0.004900144815276327,Somalia,JJA,2011
79,0.004570951898604881,0.002783428809764983,Somalia,SON,2011
80,0.026828351193833425,0.048552359466065044,Kenya,DJF,2011
81,0.07390752593246525,0.0,Kenya,MAM,2011
82,0.03550540719487971,0.011715588906054586,Kenya,JJA,2011
83,0.0006786783436529629,0.0762815864338707,Kenya,SON,2011
