,Dry_p,Wet_p,Country,Season,Year
0,0.0006308914124545387,0.00783047576634751,Ethiopia,DJF,2005
1,0.00023960965409079027,0.0019313990299439459,Ethiopia,MAM,2005
2,0.0015901367953297901,0.020294211611629052,Ethiopia,JJA,2005
3,0.006210222643088375,0.003325331982646612,Ethiopia,SON,2005
4,0.00022648547828403942,0.04443112176925126,Somalia,DJF,2005
5,0.0012511729746637473,0.004014179960379523,Somalia,MAM,2005
6,6.516525909707016e-05,0.006464393702429362,Somalia,JJA,2005
7,0.005178274962447624,0.0009882204126808443,Somalia,SON,2005
8,0.003773303504847129,0.0002684563758389262,Kenya,DJF,2005
9,0.0026262036766851477,0.00014590020426028595,Kenya,MAM,2005
10,0.0008608112051356873,0.015086081120513569,Kenya,JJA,2005
11,0.005442879268382624,0.0026845637583892616,Kenya,SON,2005
12,0.007281229124916498,0.019973279893119575,Ethiopia,DJF,2006
13,0.0013287444454125644,0.002287183061775725,Ethiopia,MAM,2006
14,0.0005082629026168278,0.0026574888908251285,Ethiopia,JJA,2006
15,0.00019819859499218217,0.005255933111644535,Ethiopia,SON,2006
16,0.0012256861177724486,0.030295763389288567,Somalia,DJF,2006
17,0.0,0.0006907517464289437,Somalia,MAM,2006
18,0.00024762798456886664,0.006164633510582837,Somalia,JJA,2006
19,0.0,0.01973805570927873,Somalia,SON,2006
20,0.024131245339299032,0.030768083519761374,Kenya,DJF,2006
21,0.0,0.002407353370294718,Kenya,MAM,2006
22,0.00083163116428363,0.013583309016632624,Kenya,JJA,2006
23,0.0,0.03784939892322443,Kenya,SON,2006
24,0.021524530542566613,0.014636680768945299,Ethiopia,DJF,2007
25,0.0008277424414045482,0.0,Ethiopia,MAM,2007
26,0.0005227846998344516,0.01775289709854492,Ethiopia,JJA,2007
27,0.0036703443517070774,0.0069149287586161325,Ethiopia,SON,2007
28,0.0,0.007167599253930188,Somalia,DJF,2007
29,0.0004170576582212491,0.002280784068397456,Somalia,MAM,2007
30,0.00024762798456886664,0.011807944948389115,Somalia,JJA,2007
31,0.0,0.0038079426568635205,Somalia,SON,2007
32,0.0033258762117822516,0.038926174496644296,Kenya,DJF,2007
33,0.004697986577181208,0.003136854391596148,Kenya,MAM,2007
34,0.0035599649839509768,0.05900204260285965,Kenya,JJA,2007
35,0.002817316911276643,0.0633527546279224,Kenya,SON,2007
36,0.02314519148186483,0.01770574115263494,Ethiopia,DJF,2008
37,0.11008974470680492,0.0005518282942696989,Ethiopia,MAM,2008
38,0.03119282042345561,0.0007551334553164299,Ethiopia,JJA,2008
39,0.005821166141807425,0.012405763908769922,Ethiopia,SON,2008
40,0.0010013966848499223,0.026879595224918965,Somalia,DJF,2008
41,0.0818214993222813,0.019536544677301638,Somalia,MAM,2008
42,0.019184652278177457,0.026678657074340528,Somalia,JJA,2008
43,0.0,0.13182860305162464,Somalia,SON,2008
44,0.0013422818791946308,0.00041300980898296334,Kenya,DJF,2008
45,0.004347826086956522,0.0,Kenya,MAM,2008
46,0.0587248322147651,0.00014590020426028595,Kenya,JJA,2008
47,0.0,0.016667895862526736,Kenya,SON,2008
48,0.059585838343353376,0.0010613820233058712,Ethiopia,DJF,2009
49,0.031933432081554414,0.0014884842148064244,Ethiopia,MAM,2009
50,0.18594435247306204,0.0017716592605500855,Ethiopia,JJA,2009
51,0.055025802520792505,0.003134474076357844,Ethiopia,SON,2009
52,0.05822009059419132,0.0010524913402611244,Somalia,DJF,2009
53,0.016851736002502345,0.003049734125742884,Somalia,MAM,2009
54,0.022703576269419247,0.0,Somalia,JJA,2009
55,0.017313621630168394,0.01014572957019,Somalia,SON,2009
56,0.103668903803132,0.00043251304996271434,Kenya,DJF,2009
57,0.07159323023052232,0.0,Kenya,MAM,2009
58,0.10866647213306099,0.0,Kenya,JJA,2009
59,0.10089239619440961,0.01121026624382329,Kenya,SON,2009
60,0.08080605655755957,0.005158465078304757,Ethiopia,DJF,2010
61,0.00022508785687316661,0.08800209113879935,Ethiopia,MAM,2010
62,0.0005518282942696988,0.05357090993581365,Ethiopia,JJA,2010
63,0.07553568675813165,0.017859895615406636,Ethiopia,SON,2010
64,0.21536104449773516,0.005169197974953369,Somalia,DJF,2010
65,0.0,0.07507037847982484,Somalia,MAM,2010
66,3.9099155458242104e-05,0.11269679908247314,Somalia,JJA,2010
67,0.2274751627269613,0.04224312857406382,Somalia,SON,2010
68,0.09069351230425056,0.004802386278896346,Kenya,DJF,2010
69,0.0,0.02589728625620076,Kenya,MAM,2010
70,0.0033119346367084914,0.0034870148818208343,Kenya,JJA,2010
71,0.03814440592964083,0.0003540084076996829,Kenya,SON,2010
72,0.023387515772285313,0.020084613671788022,Ethiopia,DJF,2011
73,0.14279283204089338,0.0,Ethiopia,MAM,2011
74,0.011748133949057537,0.0043710609625047196,Ethiopia,JJA,2011
75,0.003193199585985157,0.008456473386333105,Ethiopia,SON,2011
76,0.09114042099653612,0.0030642152944311213,Somalia,DJF,2011
77,0.10001563966218328,0.009761755812741111,Somalia,MAM,2011
78,0.0198754040246064,0.04188822854759671,Somalia,JJA,2011
79,0.0006061085197775845,0.014520251930323873,Somalia,SON,2011
80,0.07052945563012677,0.06040268456375838,Kenya,DJF,2011
81,0.13017216224102712,0.0,Kenya,MAM,2011
82,0.06486723081412313,0.013233148526407936,Kenya,JJA,2011
83,0.012036285861789217,0.09074415517368538,Kenya,SON,2011
