,Dry_p,Wet_p,Country,Season,Year
0,0.0076086956521739125,0.008091787439613527,Ethiopia,DJF,2005
1,0.008506616257088847,0.0,Ethiopia,MAM,2005
2,0.01157844990548204,0.02764650283553875,Ethiopia,JJA,2005
3,0.01743908265647396,0.000716674629718108,Ethiopia,SON,2005
4,0.008,0.084,Somalia,DJF,2005
5,0.01717391304347826,0.018043478260869564,Somalia,MAM,2005
6,0.0015217391304347828,0.0,Somalia,JJA,2005
7,0.04263736263736264,0.0,Somalia,SON,2005
8,0.07659574468085106,0.0,Kenya,DJF,2005
9,0.04024051803885291,0.0,Kenya,MAM,2005
10,0.006706753006475486,0.05804810360777059,Kenya,JJA,2005
11,0.04185176525602058,0.00303951367781155,Kenya,SON,2005
12,0.006884057971014493,0.005314009661835748,Ethiopia,DJF,2006
13,0.00023629489603024575,0.038279773156899816,Ethiopia,MAM,2006
14,0.0,0.018667296786389412,Ethiopia,JJA,2006
15,0.0,0.016244624940277116,Ethiopia,SON,2006
16,0.0013333333333333333,0.0006666666666666666,Somalia,DJF,2006
17,0.012391304347826088,0.0,Somalia,MAM,2006
18,0.03391304347826087,0.01652173913043478,Somalia,JJA,2006
19,0.0,0.05252747252747253,Somalia,SON,2006
20,0.10378250591016548,0.03096926713947991,Kenya,DJF,2006
21,0.0,0.0,Kenya,MAM,2006
22,0.002081406105457909,0.0018501387604070304,Kenya,JJA,2006
23,0.0,0.04559270516717325,Kenya,SON,2006
24,0.0024154589371980675,0.045893719806763274,Ethiopia,DJF,2007
25,0.0,0.002599243856332703,Ethiopia,MAM,2007
26,0.0,0.0320179584120983,Ethiopia,JJA,2007
27,0.0013139034878165313,0.023411371237458192,Ethiopia,SON,2007
28,0.0,0.02422222222222222,Somalia,DJF,2007
29,0.0,0.0030434782608695656,Somalia,MAM,2007
30,0.0,0.0,Somalia,JJA,2007
31,0.0,0.027252747252747254,Somalia,SON,2007
32,0.0,0.11607565011820331,Kenya,DJF,2007
33,0.01156336725254394,0.006244218316373728,Kenya,MAM,2007
34,0.001156336725254394,0.055041628122109165,Kenya,JJA,2007
35,0.0,0.015431377133504795,Kenya,SON,2007
36,0.002508361204013378,0.024128045867176304,Ethiopia,DJF,2008
37,0.013350661625708886,0.0016540642722117204,Ethiopia,MAM,2008
38,0.0028355387523629487,0.005434782608695652,Ethiopia,JJA,2008
39,0.034042044911610135,0.06211180124223602,Ethiopia,SON,2008
40,0.0,0.0,Somalia,DJF,2008
41,0.0013043478260869564,0.0,Somalia,MAM,2008
42,0.0,0.028913043478260868,Somalia,JJA,2008
43,0.012967032967032967,0.02989010989010989,Somalia,SON,2008
44,0.0,0.0,Kenya,DJF,2008
45,0.001156336725254394,0.0,Kenya,MAM,2008
46,0.029139685476410732,0.0,Kenya,JJA,2008
47,0.0060790273556231,0.013560907177928454,Kenya,SON,2008
48,0.08562801932367148,0.007125603864734299,Ethiopia,DJF,2009
49,0.19293478260869565,0.0,Ethiopia,MAM,2009
50,0.581758034026465,0.0,Ethiopia,JJA,2009
51,0.23877209746774963,0.0,Ethiopia,SON,2009
52,0.04355555555555556,0.0,Somalia,DJF,2009
53,0.0632608695652174,0.0,Somalia,MAM,2009
54,0.17347826086956522,0.0,Somalia,JJA,2009
55,0.03670329670329671,0.002857142857142857,Somalia,SON,2009
56,0.045626477541371155,0.0,Kenya,DJF,2009
57,0.09250693802035152,0.0,Kenya,MAM,2009
58,0.1429232192414431,0.0,Kenya,JJA,2009
59,0.0944587327566051,0.002805704933364508,Kenya,SON,2009
60,0.01920289855072464,0.0,Ethiopia,DJF,2010
61,0.02859168241965973,0.02504725897920605,Ethiopia,MAM,2010
62,0.04300567107750473,0.0014177693761814744,Ethiopia,JJA,2010
63,0.000716674629718108,0.011944577161968468,Ethiopia,SON,2010
64,0.12577777777777777,0.0,Somalia,DJF,2010
65,0.0,0.044347826086956525,Somalia,MAM,2010
66,0.0032608695652173916,0.0,Somalia,JJA,2010
67,0.036923076923076927,0.0,Somalia,SON,2010
68,0.024822695035460994,0.005200945626477541,Kenya,DJF,2010
69,0.0,0.12789084181313598,Kenya,MAM,2010
70,0.0,0.007631822386679,Kenya,JJA,2010
71,0.004909983633387889,0.0,Kenya,SON,2010
72,0.043719806763285025,0.0076086956521739125,Ethiopia,DJF,2011
73,0.07904064272211721,0.0,Ethiopia,MAM,2011
74,0.0044896030245746696,0.0,Ethiopia,JJA,2011
75,0.016244624940277116,0.007525083612040134,Ethiopia,SON,2011
76,0.15533333333333335,0.0,Somalia,DJF,2011
77,0.1082608695652174,0.006521739130434781,Somalia,MAM,2011
78,0.06086956521739131,0.09152173913043478,Somalia,JJA,2011
79,0.03120879120879121,0.0006593406593406593,Somalia,SON,2011
80,0.08250591016548464,0.066903073286052,Kenya,DJF,2011
81,0.021970397779833485,0.0,Kenya,MAM,2011
82,0.07978723404255318,0.004162812210915818,Kenya,JJA,2011
83,0.009819967266775777,0.15314472761281273,Kenya,SON,2011
