,Dry_p,Wet_p,Country,Season,Year
0,0.002746063726587568,0.0077531527497947915,Ethiopia,DJF,2005
1,0.002934563611411219,0.009365783864280082,Ethiopia,MAM,2005
2,0.0023505708529214238,0.014475720501065785,Ethiopia,JJA,2005
3,0.01290046421006797,0.0005166089786640492,Ethiopia,SON,2005
4,0.0038962783823726995,0.0108155313717587,Somalia,DJF,2005
5,0.004021870564113348,0.010317543767414962,Somalia,MAM,2005
6,0.0023658062141843224,0.024131223384680083,Somalia,JJA,2005
7,0.01420465870284492,0.0008238436291640645,Somalia,SON,2005
8,0.011273424819241552,0.0,Kenya,DJF,2005
9,0.013020382239159302,2.887002713782551e-05,Kenya,MAM,2005
10,0.002930307754489289,0.038454876147583576,Kenya,JJA,2005
11,0.033331873969324174,0.0008610247654072356,Kenya,SON,2005
12,0.007051712558764272,0.045280202969927616,Ethiopia,DJF,2006
13,0.010139574269279063,0.002321371214996934,Ethiopia,MAM,2006
14,0.006226822787397436,0.007482407218150494,Ethiopia,JJA,2006
15,0.003431759643982612,0.016118200134318333,Ethiopia,SON,2006
16,0.00834340991535671,0.0341932016659949,Somalia,DJF,2006
17,0.004074444035539667,0.000552021449976342,Somalia,MAM,2006
18,0.012459912728037432,0.001918931707060617,Somalia,JJA,2006
19,0.0025911210917256866,0.006165539418260095,Somalia,SON,2006
20,0.04406079386159066,0.047867788106831934,Kenya,DJF,2006
21,0.00030313528494716786,0.0028148276459379878,Kenya,MAM,2006
22,0.012659506899936486,0.003291183093712108,Kenya,JJA,2006
23,0.01104738554937758,0.02737766881193176,Kenya,SON,2006
24,0.015177971793149767,0.013319901499888067,Ethiopia,DJF,2007
25,0.002927263701930096,0.001730078547026017,Ethiopia,MAM,2007
26,0.0014380821677811195,0.03444097293193564,Ethiopia,JJA,2007
27,0.0024575827127875484,0.03093011756544329,Ethiopia,SON,2007
28,0.004044068252048905,0.02923552331049308,Somalia,DJF,2007
29,0.00612480942116608,0.007807160506808264,Somalia,MAM,2007
30,0.0024972398927501187,0.02085852478839178,Somalia,JJA,2007
31,0.0013420678475092019,0.06233307200659075,Somalia,SON,2007
32,0.0016083812896561902,0.11403275785745905,Kenya,DJF,2007
33,0.012240891506438017,0.00025983024424042954,Kenya,MAM,2007
34,0.002540562388128645,0.10814712165829436,Kenya,JJA,2007
35,0.005253710432993302,0.08756184054988835,Kenya,SON,2007
36,0.014472431530860008,0.03689326120487975,Ethiopia,DJF,2008
37,0.08772301223464829,0.008599293368762228,Ethiopia,MAM,2008
38,0.005401933016030602,0.032024702893684115,Ethiopia,JJA,2008
39,0.003298917335183285,0.018974309773503863,Ethiopia,SON,2008
40,0.001262341044686873,0.005394846990977584,Somalia,DJF,2008
41,0.02641816939172494,0.0006177382892592399,Somalia,MAM,2008
42,0.006992271699700331,0.019439041059881184,Somalia,JJA,2008
43,0.0034814037232416915,0.03167811632140532,Somalia,SON,2008
44,0.0034878799819038865,0.0,Kenya,DJF,2008
45,0.0012991512212021479,0.004215023962122525,Kenya,MAM,2008
46,0.013698827876898204,0.0012558461804954095,Kenya,JJA,2008
47,0.005326678633451542,0.008595654013980707,Kenya,SON,2008
48,0.029147078576225654,0.001216327139765689,Ethiopia,DJF,2009
49,0.008708792010979065,0.004358045960230093,Ethiopia,MAM,2009
50,0.05615820363827489,0.0001313983706602038,Ethiopia,JJA,2009
51,0.04863504527708692,0.0003985269263979808,Ethiopia,SON,2009
52,0.018366250167943035,0.002821442966545748,Somalia,DJF,2009
53,0.006979128331843752,0.003036117974869881,Somalia,MAM,2009
54,0.018755585931339046,0.0003417275642710688,Somalia,JJA,2009
55,0.011454084005474575,0.022589260799659835,Somalia,SON,2009
56,0.07839752102700309,0.0010476612070237567,Kenya,DJF,2009
57,0.014680408799584273,0.0,Kenya,MAM,2009
58,0.06390380506957677,0.0005052254749119465,Kenya,JJA,2009
59,0.028457598178713715,0.017804240911810633,Kenya,SON,2009
60,0.010857398701589431,0.012349824639952241,Ethiopia,DJF,2010
61,0.010650567932957631,0.09357753963850848,Ethiopia,MAM,2010
62,0.0033871579992408095,0.013738429643472418,Ethiopia,JJA,2010
63,0.018147735407641384,0.00294467117838508,Ethiopia,SON,2010
64,0.013260781942765015,0.005011420126293161,Somalia,DJF,2010
65,0.0001708637821355344,0.11286209978444876,Somalia,MAM,2010
66,0.0007886020713947742,0.032332684927185745,Somalia,JJA,2010
67,0.005447998192859136,0.0060725248149673785,Somalia,SON,2010
68,0.005208794451822341,0.03610742216319905,Kenya,DJF,2010
69,0.0002742652578093423,0.07074600150124141,Kenya,MAM,2010
70,0.010595299959581963,0.003507708297245799,Kenya,JJA,2010
71,0.0050056185514352845,0.0011528975672401968,Kenya,SON,2010
72,0.00284307141258115,0.03550481307365121,Ethiopia,DJF,2011
73,0.09367243846176307,9.489882325459164e-05,Ethiopia,MAM,2011
74,0.004759540981691826,0.024060501649779544,Ethiopia,JJA,2011
75,0.002309980147454963,0.025402401493737962,Ethiopia,SON,2011
76,0.000618030364100497,0.016539029961037215,Somalia,DJF,2011
77,0.06270700804374112,0.00027601072498817093,Somalia,MAM,2011
78,0.006243099731875295,0.0014852005677934914,Somalia,JJA,2011
79,0.0031624965119523766,0.02483489907915543,Somalia,SON,2011
80,0.00604987457577099,0.11443116423196105,Kenya,DJF,2011
81,0.10120388013164733,0.0,Kenya,MAM,2011
82,0.01462266874530862,0.013799872971880593,Kenya,JJA,2011
83,0.007676254688206881,0.09329714110590605,Kenya,SON,2011
