,Dry_p,Wet_p,Country,Season,Year
0,0.0019323671497584543,0.007971014492753621,Ethiopia,DJF,2005
1,0.035089792060491495,0.003662570888468809,Ethiopia,MAM,2005
2,0.010987712665406428,0.028946124763705106,Ethiopia,JJA,2005
3,0.01612517916865743,0.0038222646918299095,Ethiopia,SON,2005
4,0.0015555555555555557,0.076,Somalia,DJF,2005
5,0.017391304347826087,0.0006521739130434782,Somalia,MAM,2005
6,0.0010869565217391304,0.008478260869565218,Somalia,JJA,2005
7,0.03296703296703297,0.002197802197802198,Somalia,SON,2005
8,0.06950354609929078,0.0,Kenya,DJF,2005
9,0.03954671600370028,0.0,Kenya,MAM,2005
10,0.0043940795559666975,0.0709990749306198,Kenya,JJA,2005
11,0.03857844283376198,0.006780453588964227,Kenya,SON,2005
12,0.002536231884057971,0.02705314009661836,Ethiopia,DJF,2006
13,0.0004725897920604915,0.05552930056710775,Ethiopia,MAM,2006
14,0.0003544423440453686,0.006143667296786389,Ethiopia,JJA,2006
15,0.0,0.01899187768752986,Ethiopia,SON,2006
16,0.002,0.0064444444444444445,Somalia,DJF,2006
17,0.010869565217391304,0.0,Somalia,MAM,2006
18,0.026304347826086958,0.07608695652173912,Somalia,JJA,2006
19,0.0,0.09384615384615383,Somalia,SON,2006
20,0.05106382978723404,0.061229314420803795,Kenya,DJF,2006
21,0.0,0.0,Kenya,MAM,2006
22,0.012488436632747455,0.025439407955596675,Kenya,JJA,2006
23,0.0,0.05377601122281973,Kenya,SON,2006
24,0.004951690821256039,0.06038647342995169,Ethiopia,DJF,2007
25,0.0,0.0004725897920604915,Ethiopia,MAM,2007
26,0.0,0.02977315689981096,Ethiopia,JJA,2007
27,0.002388915432393693,0.024128045867176304,Ethiopia,SON,2007
28,0.0011111111111111111,0.057777777777777775,Somalia,DJF,2007
29,0.0,0.0,Somalia,MAM,2007
30,0.0,0.009782608695652175,Somalia,JJA,2007
31,0.0,0.044395604395604395,Somalia,SON,2007
32,0.0009456264775413712,0.060047281323877065,Kenya,DJF,2007
33,0.01156336725254394,0.0,Kenya,MAM,2007
34,0.0006938020351526364,0.04949121184088806,Kenya,JJA,2007
35,0.001402852466682254,0.01800327332242226,Kenya,SON,2007
36,0.000358337314859054,0.01290014333492594,Ethiopia,DJF,2008
37,0.012641776937618148,0.001890359168241966,Ethiopia,MAM,2008
38,0.00661625708884688,0.010042533081285445,Ethiopia,JJA,2008
39,0.026039178213091256,0.06557572861920688,Ethiopia,SON,2008
40,0.0,0.0015384615384615385,Somalia,DJF,2008
41,0.0013043478260869564,0.0,Somalia,MAM,2008
42,0.0,0.04717391304347826,Somalia,JJA,2008
43,0.006153846153846154,0.04373626373626374,Somalia,SON,2008
44,0.0,0.0011690437222352116,Kenya,DJF,2008
45,0.002081406105457909,0.0032377428307123032,Kenya,MAM,2008
46,0.026827012025901945,0.0,Kenya,JJA,2008
47,0.006546644844517185,0.023614683189151275,Kenya,SON,2008
48,0.04202898550724638,0.0,Ethiopia,DJF,2009
49,0.1858459357277883,0.0,Ethiopia,MAM,2009
50,0.5083884688090737,0.0,Ethiopia,JJA,2009
51,0.19899665551839463,0.0,Ethiopia,SON,2009
52,0.025111111111111112,0.0,Somalia,DJF,2009
53,0.06413043478260869,0.0,Somalia,MAM,2009
54,0.09543478260869566,0.0,Somalia,JJA,2009
55,0.051428571428571435,0.007252747252747252,Somalia,SON,2009
56,0.08085106382978723,0.0,Kenya,DJF,2009
57,0.08533765032377427,0.0,Kenya,MAM,2009
58,0.12118408880666048,0.0,Kenya,JJA,2009
59,0.06453121346738368,0.005377601122281973,Kenya,SON,2009
60,0.017391304347826087,0.0,Ethiopia,DJF,2010
61,0.02965500945179584,0.029300567107750478,Ethiopia,MAM,2010
62,0.030245746691871456,0.00614366729678639,Ethiopia,JJA,2010
63,0.001433349259436216,0.013377926421404684,Ethiopia,SON,2010
64,0.09577777777777778,0.0,Somalia,DJF,2010
65,0.00021739130434782607,0.06152173913043477,Somalia,MAM,2010
66,0.005869565217391305,0.0,Somalia,JJA,2010
67,0.06527472527472528,0.0,Somalia,SON,2010
68,0.03522458628841607,0.012293144208037824,Kenya,DJF,2010
69,0.0,0.12395929694727105,Kenya,MAM,2010
70,0.001156336725254394,0.001156336725254394,Kenya,JJA,2010
71,0.00303951367781155,0.0,Kenya,SON,2010
72,0.020410628019323668,0.008091787439613527,Ethiopia,DJF,2011
73,0.06958884688090737,0.0,Ethiopia,MAM,2011
74,0.012641776937618148,0.0,Ethiopia,JJA,2011
75,0.028666985188724323,0.007763975155279503,Ethiopia,SON,2011
76,0.056222222222222215,0.0,Somalia,DJF,2011
77,0.09347826086956522,0.013695652173913045,Somalia,MAM,2011
78,0.03130434782608696,0.07565217391304349,Somalia,JJA,2011
79,0.022637362637362636,0.0002197802197802198,Somalia,SON,2011
80,0.04728132387706856,0.04184397163120568,Kenya,DJF,2011
81,0.014569842738205366,0.0,Kenya,MAM,2011
82,0.05111008325624422,0.00786308973172988,Kenya,JJA,2011
83,0.000701426233341127,0.12976385316810848,Kenya,SON,2011
