,Dry_p,Wet_p,Country,Season,Year,product,latency,dataset
56,0.0031577394127194,0.0,Kenya,DJF,2009,180_CHIRPS,180,CHIRPS
57,0.0970899012645071,0.0,Kenya,MAM,2009,180_CHIRPS,180,CHIRPS
58,0.0283070616086379,0.0,Kenya,JJA,2009,180_CHIRPS,180,CHIRPS
59,0.0343972096960144,0.0031230389796126,Kenya,SON,2009,180_CHIRPS,180,CHIRPS
60,0.0157898664278785,0.0002984851876725,Ethiopia,DJF,2010,180_CHIRPS,180,CHIRPS
61,0.0137822291003591,0.0426679709171606,Ethiopia,MAM,2010,180_CHIRPS,180,CHIRPS
62,0.0,0.1018483370806202,Ethiopia,JJA,2010,180_CHIRPS,180,CHIRPS
63,0.0014612653967925,0.0176754071985771,Ethiopia,SON,2010,180_CHIRPS,180,CHIRPS
64,0.0033454252317613,0.0,Somalia,DJF,2010,180_CHIRPS,180,CHIRPS
65,0.0010646127963829,0.0239077861311182,Somalia,MAM,2010,180_CHIRPS,180,CHIRPS
66,0.0,0.1600993638609957,Somalia,JJA,2010,180_CHIRPS,180,CHIRPS
67,0.0057934810050892,0.0550380695483476,Somalia,SON,2010,180_CHIRPS,180,CHIRPS
68,0.0008558359155968,0.0044857606610594,Kenya,DJF,2010,180_CHIRPS,180,CHIRPS
69,0.0,0.0465673537733125,Kenya,MAM,2010,180_CHIRPS,180,CHIRPS
70,0.0,0.0147525838674288,Kenya,JJA,2010,180_CHIRPS,180,CHIRPS
71,0.0074427564467405,0.0,Kenya,SON,2010,180_CHIRPS,180,CHIRPS
72,0.0089918662786359,0.0372136407730766,Ethiopia,DJF,2011,180_CHIRPS,180,CHIRPS
73,0.1402166613133997,2.919963792448973e-05,Ethiopia,MAM,2011,180_CHIRPS,180,CHIRPS
74,0.0453324378777703,0.0082050982567816,Ethiopia,JJA,2011,180_CHIRPS,180,CHIRPS
75,0.0131144879298002,0.0541184805791924,Ethiopia,SON,2011,180_CHIRPS,180,CHIRPS
76,0.0050114201262931,0.017627300819562,Somalia,DJF,2011,180_CHIRPS,180,CHIRPS
77,0.1375584879869618,0.0,Somalia,MAM,2011,180_CHIRPS,180,CHIRPS
78,0.0583039798117869,0.0,Somalia,JJA,2011,180_CHIRPS,180,CHIRPS
79,0.0175930478227938,0.0110554499913629,Somalia,SON,2011,180_CHIRPS,180,CHIRPS
80,0.0027003098716246,0.1181348679356647,Kenya,DJF,2011,180_CHIRPS,180,CHIRPS
81,0.1406692072290548,0.0,Kenya,MAM,2011,180_CHIRPS,180,CHIRPS
82,0.2134505456435128,0.0,Kenya,JJA,2011,180_CHIRPS,180,CHIRPS
83,0.0748507800300629,0.058753995008975,Kenya,SON,2011,180_CHIRPS,180,CHIRPS
84,0.0016996956876716,0.0033993913753432,Ethiopia,DJF,2005,180_ERA5,180,ERA5
85,0.0013214835468037,0.0034198832447503,Ethiopia,MAM,2005,180_ERA5,180,ERA5
86,7.260898608811826e-06,0.0065638523423658,Ethiopia,JJA,2005,180_ERA5,180,ERA5
87,9.5428953144384e-05,0.0140060340461142,Ethiopia,SON,2005,180_ERA5,180,ERA5
88,0.0087396749267252,0.071982414068745,Somalia,DJF,2005,180_ERA5,180,ERA5
89,0.0,0.1237488270253362,Somalia,MAM,2005,180_ERA5,180,ERA5
90,0.0,0.0001042644145553,Somalia,JJA,2005,180_ERA5,180,ERA5
91,0.00085645769099,0.0024244340791103,Somalia,SON,2005,180_ERA5,180,ERA5
92,0.003489932885906,0.0,Kenya,DJF,2005,180_ERA5,180,ERA5
93,0.0,0.0,Kenya,MAM,2005,180_ERA5,180,ERA5
94,0.0009337613072658,0.0,Kenya,JJA,2005,180_ERA5,180,ERA5
95,0.000324507707058,0.0015045357327236,Kenya,SON,2005,180_ERA5,180,ERA5
96,0.0020559637794106,0.0068433162621539,Ethiopia,DJF,2006,180_ERA5,180,ERA5
97,0.0059539368592256,0.0006825244692283,Ethiopia,MAM,2006,180_ERA5,180,ERA5
98,0.0,0.0006680026720106,Ethiopia,JJA,2006,180_ERA5,180,ERA5
99,0.0,0.0012993019005043,Ethiopia,SON,2006,180_ERA5,180,ERA5
100,0.0056488142819078,0.0255262456701305,Somalia,DJF,2006,180_ERA5,180,ERA5
101,2.6066103638828067e-05,0.0005473881764153,Somalia,MAM,2006,180_ERA5,180,ERA5
102,0.0,0.0004300907100406,Somalia,JJA,2006,180_ERA5,180,ERA5
103,0.0,0.016417635122671,Somalia,SON,2006,180_ERA5,180,ERA5
104,0.0096196868008948,0.0211633109619686,Kenya,DJF,2006,180_ERA5,180,ERA5
105,0.0,0.0,Kenya,MAM,2006,180_ERA5,180,ERA5
106,0.0,0.0,Kenya,JJA,2006,180_ERA5,180,ERA5
107,0.0,0.0133490670403422,Kenya,SON,2006,180_ERA5,180,ERA5
