,DW,WD,Country,Season,Year
87,0.0007094677244609094,0.026555528372884114,Ethiopia,SON,2007
88,0.0,0.0005454973812501132,Somalia,DJF,2007
89,0.00016606033959043966,0.0012238824316434184,Somalia,MAM,2007
90,5.909620625994294e-07,0.04751187242783761,Somalia,JJA,2007
91,4.002956213036135e-05,0.036723538517699335,Somalia,SON,2007
92,6.259780907668232e-06,0.016226011036982128,Kenya,DJF,2007
93,0.0006800528571889,0.0050939504302704094,Kenya,MAM,2007
94,0.0001302091726560737,0.04687562445611886,Kenya,JJA,2007
95,0.00011176369960654616,0.01783429320864458,Kenya,SON,2007
96,0.0,0.0007861894277160066,Ethiopia,DJF,2008
97,4.2141582548117135e-05,0.00558375968762552,Ethiopia,MAM,2008
98,0.0005712159821951814,0.018509702440919477,Ethiopia,JJA,2008
99,0.00038627130857935043,0.06143061845015504,Ethiopia,SON,2008
100,8.961842267991347e-07,0.0016552522668980016,Somalia,DJF,2008
101,0.000200927101283806,0.00045681367438935884,Somalia,MAM,2008
102,8.184824567002098e-05,0.0188487349866088,Somalia,JJA,2008
103,6.811000123673424e-05,0.013339702215905119,Somalia,SON,2008
104,6.484249627318567e-05,0.006250295294031396,Kenya,DJF,2008
105,0.0009565861991168981,0.006766042479131079,Kenya,MAM,2008
106,0.0002117510555322783,0.004677538917716826,Kenya,JJA,2008
107,0.00043174023900487954,0.035579631635969666,Kenya,SON,2008
108,0.0,0.0022405640533764114,Ethiopia,DJF,2009
109,0.0002660187398349893,0.0038538148009139455,Ethiopia,MAM,2009
110,0.00019770328375112763,0.01041934166946513,Ethiopia,JJA,2009
111,6.840047730552046e-05,0.01178984577439825,Ethiopia,SON,2009
112,0.0,0.0002630831777789859,Somalia,DJF,2009
113,0.0016198270135850362,0.004341502792886708,Somalia,MAM,2009
114,2.068367219098003e-05,0.006790154099267442,Somalia,JJA,2009
115,4.421175518875731e-05,0.004911089562859258,Somalia,SON,2009
116,2.1744502100321224e-05,0.002710485133020344,Kenya,DJF,2009
117,9.024398104876399e-05,0.00459631933477294,Kenya,MAM,2009
118,1.160279756341251e-05,0.0019885905823959775,Kenya,JJA,2009
119,0.00015477480266212662,0.006181542697480429,Kenya,SON,2009
