,DW,WD,Country,Season,Year
0,0.0,0.0061476468461021845,Ethiopia,DJF,2000
1,5.839927584897947e-05,0.011256460419890793,Ethiopia,MAM,2000
2,0.00029929628872601977,0.0066940169941892705,Ethiopia,JJA,2000
3,0.00010332179573280984,0.011011151373810878,Ethiopia,SON,2000
4,0.0,0.002803725899251897,Somalia,DJF,2000
5,0.0,0.009975816203143894,Somalia,MAM,2000
6,1.314336785657957e-05,0.0033778455391409497,Somalia,JJA,2000
7,2.6575600940776276e-05,0.007255139056831923,Somalia,SON,2000
8,1.4593640091648062e-05,0.0030500707791544443,Kenya,DJF,2000
9,1.4435013568912754e-05,0.001602286506149316,Kenya,MAM,2000
10,2.887002713782551e-05,0.003060222876609504,Kenya,JJA,2000
11,7.296820045824031e-05,0.004071625585569809,Kenya,SON,2000
12,0.0,0.0019550779792552792,Ethiopia,DJF,2001
13,4.37994568867346e-05,0.0053362338307005,Ethiopia,MAM,2001
14,0.0004160948404239787,0.009577481239232633,Ethiopia,JJA,2001
15,0.0001107019239994391,0.006088605819969151,Ethiopia,SON,2001
16,0.0,0.0014644632540642213,Somalia,DJF,2001
17,3.943010356973871e-05,0.001866358235634299,Somalia,MAM,2001
18,0.0,0.0036012827927028013,Somalia,JJA,2001
19,0.0,0.0016211116573873528,Somalia,SON,2001
20,0.0,0.021809060056072006,Kenya,DJF,2001
21,0.0,0.0018909867775275706,Kenya,MAM,2001
22,1.4435013568912754e-05,0.003608753392228188,Kenya,JJA,2001
23,0.0,0.008289187572056099,Kenya,SON,2001
24,0.0,0.03598238937392731,Ethiopia,DJF,2002
25,3.649954740561217e-05,0.004650042339474991,Ethiopia,MAM,2002
26,0.00029929628872601977,0.0038543522060326455,Ethiopia,JJA,2002
27,0.0006346910309301176,0.005756500047970833,Ethiopia,SON,2002
28,0.0,0.004191858121725111,Somalia,DJF,2002
29,0.0,0.01403711687082698,Somalia,MAM,2002
30,0.0,0.003456705746280427,Somalia,JJA,2002
31,2.6575600940776276e-05,0.004969637375925162,Somalia,SON,2002
32,0.0,0.031503615168953815,Kenya,DJF,2002
33,0.0,0.019472833304463307,Kenya,MAM,2002
34,7.217506784456377e-05,0.004561464287776431,Kenya,JJA,2002
35,1.4593640091648062e-05,0.009748551581220904,Kenya,SON,2002
36,0.0,0.021237221102902767,Ethiopia,DJF,2003
37,2.9199637924489735e-05,0.007664904955178555,Ethiopia,MAM,2003
38,0.0002992962887260198,0.00983297807107192,Ethiopia,JJA,2003
39,0.00015498269359921475,0.007166104546897025,Ethiopia,SON,2003
40,0.0,0.010949885798737067,Somalia,DJF,2003
41,2.628673571315914e-05,0.004797329267651543,Somalia,MAM,2003
42,0.0,0.008661479417485936,Somalia,JJA,2003
43,1.3287800470388138e-05,0.0037072963312382904,Somalia,SON,2003
44,0.0,0.0029659141212926067,Kenya,DJF,2003
45,0.0,0.01462266874530862,Kenya,MAM,2003
46,5.774005427565102e-05,0.011403660719441074,Kenya,JJA,2003
47,1.4593640091648062e-05,0.0023933569750302823,Kenya,SON,2003
48,0.0,0.016228902058317774,Ethiopia,DJF,2004
49,7.299909481122434e-05,0.00413904867579642,Ethiopia,MAM,2004
50,0.0004817940257540807,0.004598942973107133,Ethiopia,JJA,2004
51,0.00014760256533258547,0.010937350091144583,Ethiopia,SON,2004
52,0.0,0.00041192181458203224,Somalia,DJF,2004
53,0.0,0.003088691446296199,Somalia,MAM,2004
54,1.314336785657957e-05,0.009371221281741234,Somalia,JJA,2004
55,0.0,0.02165911476673266,Somalia,SON,2004
56,0.0,0.016986997066678344,Kenya,DJF,2004
57,1.4435013568912754e-05,0.003608753392228189,Kenya,MAM,2004
58,0.0,0.005499740169755759,Kenya,JJA,2004
59,1.4593640091648062e-05,0.006888198123257885,Kenya,SON,2004
60,0.0,0.003111708081486456,Ethiopia,DJF,2005
61,5.109936636785704e-05,0.015169211901772419,Ethiopia,MAM,2005
62,0.00046719420679183576,0.004168248313720909,Ethiopia,JJA,2005
63,0.00022140384799887826,0.003926228237846774,Ethiopia,SON,2005
64,0.0,0.0005911594787048233,Somalia,DJF,2005
65,0.0,0.011185006045949214,Somalia,MAM,2005
66,0.0,0.004232164449818622,Somalia,JJA,2005
67,0.0,0.0003321950117597034,Somalia,SON,2005
68,0.0,0.004603806994245241,Kenya,DJF,2005
69,0.0,0.01824585715110572,Kenya,MAM,2005
70,0.0001299151221202148,0.010147814538945666,Kenya,JJA,2005
71,5.837456036659225e-05,0.0041883747063029934,Kenya,SON,2005
72,0.0,0.019423923587791957,Ethiopia,DJF,2006
73,4.37994568867346e-05,0.007475107308669372,Ethiopia,MAM,2006
74,0.000824889771366835,0.016818991444506087,Ethiopia,JJA,2006
75,0.00016974295013247328,0.022110864286821304,Ethiopia,SON,2006
76,0.0,0.01112454655380895,Somalia,DJF,2006
77,1.314336785657957e-05,0.005717365017612113,Somalia,MAM,2006
78,0.0,0.008714052888912254,Somalia,JJA,2006
79,0.0,0.022217202386488968,Somalia,SON,2006
80,4.426737494466578e-05,0.016024789729969013,Kenya,DJF,2006
81,0.0,0.01315029736127952,Kenya,MAM,2006
82,2.887002713782551e-05,0.011562445868699117,Kenya,JJA,2006
83,4.378092027494418e-05,0.0259328984428586,Kenya,SON,2006
84,0.0,0.012394597418103127,Ethiopia,DJF,2007
85,2.18997284433673e-05,0.004883639442870909,Ethiopia,MAM,2007
86,0.00024089701287704032,0.023388909977516276,Ethiopia,JJA,2007
87,0.00017712307839910262,0.009881991749016597,Ethiopia,SON,2007
88,0.0,0.0011688835147118095,Somalia,DJF,2007
89,1.314336785657957e-05,0.002654960307029073,Somalia,MAM,2007
90,0.0,0.017007518006413962,Somalia,JJA,2007
91,0.0,0.00955392853820907,Somalia,SON,2007
92,0.0,0.027519551423933895,Kenya,DJF,2007
93,0.0,0.007881517408626365,Kenya,MAM,2007
94,5.774005427565102e-05,0.0370113747906923,Kenya,JJA,2007
95,8.756184054988836e-05,0.013820177166790711,Kenya,SON,2007
96,0.0,0.0037417250311810417,Ethiopia,DJF,2008
97,2.9199637924489735e-05,0.006350921248576517,Ethiopia,MAM,2008
98,0.00015329809910357112,0.014490320320028031,Ethiopia,JJA,2008
99,0.0001992634631989904,0.024811991232407616,Ethiopia,SON,2008
100,0.0,0.0011028874390422154,Somalia,DJF,2008
101,0.0,0.0025498133641764366,Somalia,MAM,2008
102,1.314336785657957e-05,0.012078755060196624,Somalia,JJA,2008
103,0.0,0.00663061243472368,Somalia,SON,2008
104,1.4593640091648062e-05,0.01309049516220831,Kenya,DJF,2008
105,0.0,0.007289681852300941,Kenya,MAM,2008
106,0.0,0.004012933772157746,Kenya,JJA,2008
107,2.9187280183296123e-05,0.004918056710885396,Kenya,SON,2008
108,0.0,0.020267144242966943,Ethiopia,DJF,2009
109,9.489882325459164e-05,0.004394545507635705,Ethiopia,MAM,2009
110,0.0006861914912255087,0.006139223873623967,Ethiopia,JJA,2009
111,0.00024354423279876608,0.010051734699149072,Ethiopia,SON,2009
112,0.0,0.0010748354158269515,Somalia,DJF,2009
113,0.0,0.004166447610535724,Somalia,MAM,2009
114,0.0,0.004337311392671258,Somalia,JJA,2009
115,0.0,0.008025831484114433,Somalia,SON,2009
116,0.0,0.005548177659731445,Kenya,DJF,2009
117,0.0,0.001602286506149316,Kenya,MAM,2009
118,0.0,0.0020064668860788728,Kenya,JJA,2009
119,0.0,0.00842053033288093,Kenya,SON,2009
120,0.0,0.01922990821580479,Ethiopia,DJF,2010
121,1.4599818962244867e-05,0.02747685928694484,Ethiopia,MAM,2010
122,0.00015329809910357112,0.011037463135457119,Ethiopia,JJA,2010
123,0.00015498269359921475,0.003232496180783622,Ethiopia,SON,2010
124,0.0,0.0005105468225178019,Somalia,DJF,2010
125,0.0,0.03291099311287524,Somalia,MAM,2010
126,2.628673571315914e-05,0.006992271699700331,Somalia,JJA,2010
127,0.0,0.0010231606362198866,Somalia,SON,2010
128,0.0,0.027622841965471445,Kenya,DJF,2010
129,1.4435013568912754e-05,0.03193025001443501,Kenya,MAM,2010
130,5.774005427565102e-05,0.0077516022865061485,Kenya,JJA,2010
131,1.4593640091648062e-05,0.001473957649256454,Kenya,SON,2010
132,0.0,0.006298037459891052,Ethiopia,DJF,2011
133,0.000167897918065816,0.006701316903670394,Ethiopia,MAM,2011
134,0.0004087949309428563,0.008270797442111717,Ethiopia,JJA,2011
135,0.00027306474586528316,0.012059129587672234,Ethiopia,SON,2011
136,0.0,0.005938465672443907,Somalia,DJF,2011
137,0.0,0.0007097418642552967,Somalia,MAM,2011
138,0.0,0.011750170863782139,Somalia,JJA,2011
139,1.3287800470388138e-05,0.01043092336925469,Somalia,SON,2011
140,0.0,0.02030396930795337,Kenya,DJF,2011
141,0.0,0.0033344881344188463,Kenya,MAM,2011
142,2.887002713782551e-05,0.010277729661065882,Kenya,JJA,2011
143,1.4593640091648062e-05,0.0255972447207507,Kenya,SON,2011
144,0.0,0.0032693968221167687,Ethiopia,DJF,2012
145,2.18997284433673e-05,0.0044675446024469295,Ethiopia,MAM,2012
146,7.299909481122434e-05,0.008416795631734166,Ethiopia,JJA,2012
147,5.90410261330342e-05,0.011018531502077508,Ethiopia,SON,2012
148,0.0,0.00991269915090955,Somalia,DJF,2012
149,0.0,0.0032726985962883127,Somalia,MAM,2012
150,0.0,0.006019662478313444,Somalia,JJA,2012
151,0.0,0.005115803181099433,Somalia,SON,2012
152,0.0,0.010667950906994732,Kenya,DJF,2012
153,1.4435013568912754e-05,0.006163750793925747,Kenya,MAM,2012
154,1.4435013568912754e-05,0.007621687164385936,Kenya,JJA,2012
155,8.756184054988836e-05,0.007909752929673249,Kenya,SON,2012
156,0.0,0.004783225132452802,Ethiopia,DJF,2013
157,5.839927584897947e-05,0.02692206616637954,Ethiopia,MAM,2013
158,0.0002554968318392852,0.008526294273951004,Ethiopia,JJA,2013
