,DW,WD,Country,Season,Year
0,7.380128266629275e-06,0.0025166237389205827,Ethiopia,DJF,2000
1,0.0005182935731596928,0.010307472187344877,Ethiopia,MAM,2000
2,0.0013723829824510178,0.007548106403480598,Ethiopia,JJA,2000
3,0.0007896737245293323,0.013424453316998649,Ethiopia,SON,2000
4,0.0,0.0013819312489203662,Somalia,DJF,2000
5,0.0007360285999684558,0.007149992113979287,Somalia,MAM,2000
6,0.0004600178749802849,0.002852110824877767,Somalia,JJA,2000
7,0.0006112388216378543,0.010231606362198865,Somalia,SON,2000
8,5.837456036659225e-05,0.000481590123024386,Kenya,DJF,2000
9,0.00017322016282695306,0.0002453952306715168,Kenya,MAM,2000
10,0.0005629655291875974,0.0016311565332871412,Kenya,JJA,2000
11,0.00043780920274944185,0.0019993286925557843,Kenya,SON,2000
12,2.238638907544213e-05,0.0006865159316468921,Ethiopia,DJF,2001
13,0.0002262971939147954,0.004861739714427542,Ethiopia,MAM,2001
14,0.0004890939352352031,0.011650655531871406,Ethiopia,JJA,2001
15,0.0004723282090642735,0.0029151506653185637,Ethiopia,SON,2001
16,0.0,0.0012898024989923419,Somalia,DJF,2001
17,0.0,0.000828032174964513,Somalia,MAM,2001
18,0.0003943010356973871,0.003022974607013301,Somalia,JJA,2001
19,0.00026575600940776273,0.0002126048075262102,Somalia,SON,2001
20,0.0,0.021159805223550245,Kenya,DJF,2001
21,5.774005427565102e-05,0.0002887002713782551,Kenya,MAM,2001
22,0.00034644032565390613,0.0022518621167503896,Kenya,JJA,2001
23,0.0007588692847656993,0.0032981626607124616,Kenya,SON,2001
24,0.00020893963137079324,0.03894485486157749,Ethiopia,DJF,2002
25,0.0003576955645749992,0.0036791543784857063,Ethiopia,MAM,2002
26,0.0008832890472158146,0.0013139837066020383,Ethiopia,JJA,2002
27,0.0009003756485287715,0.006760197492232416,Ethiopia,SON,2002
28,2.687088539567379e-05,0.004272470777912132,Somalia,DJF,2002
29,0.0005388780821197624,0.01809841753851007,Somalia,MAM,2002
30,0.0005783081856895011,0.001261763314231639,Somalia,JJA,2002
31,0.0003587706127004797,0.008477616700107632,Somalia,SON,2002
32,0.00030987162461266045,0.01639368452117456,Kenya,DJF,2002
33,0.0001299151221202148,0.01195219123505976,Kenya,MAM,2002
34,0.0016167215197182287,0.0028581326866447252,Kenya,JJA,2002
35,0.00036484100229120154,0.010522014506078252,Kenya,SON,2002
36,1.4924259383628088e-05,0.029923140064174313,Ethiopia,DJF,2003
37,0.00013869828014132624,0.0064020206149443745,Ethiopia,MAM,2003
38,0.0008978888661780594,0.013774929190878032,Ethiopia,JJA,2003
39,0.0011217794965276498,0.0021402371973224896,Ethiopia,SON,2003
40,0.0,0.011756012360607282,Somalia,DJF,2003
41,0.0003022974607013301,0.003141264917722517,Somalia,MAM,2003
42,0.00034172756427106884,0.011592450449503182,Somalia,JJA,2003
43,0.0002391804084669865,0.0011826142418645443,Somalia,SON,2003
44,2.9511583296443856e-05,0.0077763021986129565,Kenya,DJF,2003
45,0.0001732201628269531,0.02451065304001386,Kenya,MAM,2003
46,0.0004041803799295572,0.010537559905306311,Kenya,JJA,2003
47,0.0005545583234826263,0.0024517315353968744,Kenya,SON,2003
48,6.642115439966347e-05,0.021859939925755915,Ethiopia,DJF,2004
49,0.0005036937541974479,0.0034966566414576464,Ethiopia,MAM,2004
50,0.0012847840686775484,0.0025768680468362193,Ethiopia,JJA,2004
51,0.0007749134679960739,0.005549856456505214,Ethiopia,SON,2004
52,0.0,0.0033219501175970343,Somalia,DJF,2004
53,0.0006045949214026602,0.00027601072498817093,Somalia,MAM,2004
54,0.0006440250249723989,0.010619841228116293,Somalia,JJA,2004
55,0.0002126048075262102,0.01925402288159241,Somalia,SON,2004
56,2.9187280183296123e-05,0.019716007763816528,Kenya,DJF,2004
57,0.0003753103527917316,0.00141463132975345,Kenya,MAM,2004
58,0.0008083607598591144,0.00765055719152376,Kenya,JJA,2004
59,0.001225865767698437,0.0016490813303562308,Kenya,SON,2004
60,2.9848518767256176e-05,0.000865607044250429,Ethiopia,DJF,2005
61,0.0005255934826408153,0.008978888661780595,Ethiopia,MAM,2005
62,0.0011533856980173447,0.0073656086664525364,Ethiopia,JJA,2005
63,0.0010553583421279863,0.0018524121949239478,Ethiopia,SON,2005
64,0.0,0.0004836759371221282,Somalia,DJF,2005
65,1.314336785657957e-05,0.0036275695284159614,Somalia,MAM,2005
66,0.0007886020713947742,0.01652121339572052,Somalia,JJA,2005
67,5.315120188155255e-05,0.0,Somalia,SON,2005
68,8.853474988933156e-05,0.0020510550391028477,Kenya,DJF,2005
69,0.0001010450949823893,0.009512673941913505,Kenya,MAM,2005
70,0.0013135862347710607,0.028812287083549853,Kenya,JJA,2005
71,0.0005545583234826263,0.0032397881003458696,Kenya,SON,2005
72,1.4924259383628088e-05,0.015491381240205954,Ethiopia,DJF,2006
73,0.0006788915817443864,0.005117236546266826,Ethiopia,MAM,2006
74,0.00164977954273367,0.014541419686395888,Ethiopia,JJA,2006
75,0.0003911467981313516,0.026383958553199655,Ethiopia,SON,2006
