,DW,WD,Country,Season,Year
0,2.9472443265546716e-05,0.006100795755968169,Ethiopia,DJF,2001
1,0.00034598085572598315,0.004468919386460616,Ethiopia,MAM,2001
2,0.0003748125937031484,0.01686656671664168,Ethiopia,JJA,2001
3,0.00023318856210102898,0.008773719649051213,Ethiopia,SON,2001
4,5.4200542005420054e-05,0.012628726287262871,Somalia,DJF,2001
5,0.00026511134676564154,0.003234358430540827,Somalia,MAM,2001
6,0.0005302226935312831,0.028472958642629907,Somalia,JJA,2001
7,0.0005896542481908336,0.003591530420798713,Somalia,SON,2001
8,0.00018018018018018018,0.01123123123123123,Kenya,DJF,2001
9,0.00011750881316098707,0.002878965922444183,Kenya,MAM,2001
10,0.00017626321974148062,0.01880141010575793,Kenya,JJA,2001
11,0.0002376002376002376,0.012355212355212355,Kenya,SON,2001
12,0.000206307102858827,0.06469201296787504,Ethiopia,DJF,2002
13,0.0004901395456118094,0.0029985007496251873,Ethiopia,MAM,2002
14,0.0002306539038173221,0.010494752623688156,Ethiopia,JJA,2002
15,0.00032063427288891484,0.010435188154021044,Ethiopia,SON,2002
16,5.4200542005420054e-05,0.017127371273712735,Somalia,DJF,2002
17,0.0005302226935312831,0.014422057264050901,Somalia,MAM,2002
18,0.00021208907741251324,0.012513255567338281,Somalia,JJA,2002
19,0.0,0.011257035647279548,Somalia,SON,2002
20,0.0,0.026546546546546545,Kenya,DJF,2002
21,0.00011750881316098707,0.02097532314923619,Kenya,MAM,2002
22,5.8754406580493536e-05,0.006991774383078731,Kenya,JJA,2002
23,0.0,0.027086427086427087,Kenya,SON,2002
24,0.0,0.019510757441791926,Ethiopia,DJF,2003
25,0.00011532695190866105,0.009226156152692885,Ethiopia,MAM,2003
26,0.00020182216584015687,0.020066889632107024,Ethiopia,JJA,2003
27,0.0007578628268283441,0.009881365319031101,Ethiopia,SON,2003
28,0.00010840108401084011,0.030623306233062326,Somalia,DJF,2003
29,0.0010604453870625664,0.009384941675503711,Somalia,MAM,2003
30,0.00010604453870625662,0.02863202545068929,Somalia,JJA,2003
31,0.00026802465826856076,0.0029482712409541678,Somalia,SON,2003
32,6.0060060060060066e-05,0.004084084084084084,Kenya,DJF,2003
33,0.0002937720329024677,0.03284371327849588,Kenya,MAM,2003
34,5.8754406580493536e-05,0.028260869565217395,Kenya,JJA,2003
35,0.00017820017820017821,0.0033264033264033266,Kenya,SON,2003
36,0.0,0.024543096161133295,Ethiopia,DJF,2004
37,0.0002306539038173221,0.011590358666820436,Ethiopia,MAM,2004
38,0.0002306539038173221,0.01813516318763695,Ethiopia,JJA,2004
39,0.0010201999591920017,0.024397353309820152,Ethiopia,SON,2004
40,0.0001072098633074243,0.011310640578933263,Somalia,DJF,2004
41,0.002598091198303287,0.01410392364793213,Somalia,MAM,2004
42,0.00037115588547189824,0.025556733828207848,Somalia,JJA,2004
43,0.00016081479496113642,0.06732779415706246,Somalia,SON,2004
44,0.0,0.02185922185922186,Kenya,DJF,2004
45,0.001116333725029377,0.009518213866039953,Kenya,MAM,2004
46,0.0004112808460634548,0.015158636897767332,Kenya,JJA,2004
47,0.0002376002376002376,0.009028809028809029,Kenya,SON,2004
48,0.0002947244326554671,0.0030651340996168583,Ethiopia,DJF,2005
49,0.0008361204013377926,0.03771191327413217,Ethiopia,MAM,2005
50,0.00034598085572598315,0.010119940029985007,Ethiopia,JJA,2005
51,0.00040807998367680065,0.007228845425131898,Ethiopia,SON,2005
52,0.0005420054200542005,0.006666666666666667,Somalia,DJF,2005
53,0.0003181336161187699,0.034994697773064694,Somalia,MAM,2005
54,0.00015906680805938495,0.009597030752916225,Somalia,JJA,2005
55,0.0,0.0025730367193781824,Somalia,SON,2005
56,0.00012012012012012013,0.006666666666666667,Kenya,DJF,2005
57,0.0002937720329024677,0.032667450058754405,Kenya,MAM,2005
58,0.00011750881316098707,0.03448883666274971,Kenya,JJA,2005
59,0.0001188001188001188,0.005702405702405703,Kenya,SON,2005
60,0.000206307102858827,0.02413793103448276,Ethiopia,DJF,2006
61,0.0013550916849267673,0.009456810056510206,Ethiopia,MAM,2006
62,0.0004901395456118094,0.016693576288778687,Ethiopia,JJA,2006
63,0.00040807998367680065,0.013874719445011225,Ethiopia,SON,2006
64,0.0,0.037344173441734414,Somalia,DJF,2006
65,0.0014846235418875925,0.007051961823966065,Somalia,MAM,2006
66,0.00015906680805938495,0.019088016967126194,Somalia,JJA,2006
67,0.00048244438488340933,0.01817207183060842,Somalia,SON,2006
68,0.00042042042042042044,0.01273273273273273,Kenya,DJF,2006
69,0.0007050528789659225,0.0077555816686251475,Kenya,MAM,2006
70,0.0005287896592244417,0.024265569917743833,Kenya,JJA,2006
71,0.0004752004752004752,0.023641223641223643,Kenya,SON,2006
72,5.894488653109343e-05,0.01444149720011789,Ethiopia,DJF,2007
73,0.00031714911774881793,0.008245877061469266,Ethiopia,MAM,2007
74,0.0002306539038173221,0.04212316918463845,Ethiopia,JJA,2007
75,0.0010784970997172588,0.023697787623517066,Ethiopia,SON,2007
76,0.00021680216802168022,0.006287262872628725,Somalia,DJF,2007
77,0.00026511134676564154,0.014846235418875928,Somalia,MAM,2007
78,0.00026511134676564154,0.05249204665959703,Somalia,JJA,2007
79,0.0002144197266148486,0.03103725542749933,Somalia,SON,2007
80,6.0060060060060066e-05,0.011651651651651652,Kenya,DJF,2007
81,0.0005287896592244417,0.015511163337250293,Kenya,MAM,2007
82,0.00017626321974148062,0.05840188014101058,Kenya,JJA,2007
83,0.0,0.01764181764181764,Kenya,SON,2007
84,0.0,0.013466639461334421,Ethiopia,DJF,2008
85,0.00040364433168031373,0.009831622650213354,Ethiopia,MAM,2008
86,0.0006054664975204706,0.018538807519317264,Ethiopia,JJA,2008
87,0.0012533885212930305,0.03850526131693241,Ethiopia,SON,2008
88,5.360493165371215e-05,0.0317877244706513,Somalia,DJF,2008
89,0.0003181336161187699,0.003234358430540827,Somalia,MAM,2008
90,0.0006362672322375398,0.025238600212089075,Somalia,JJA,2008
91,0.00016081479496113642,0.03441436612168319,Somalia,SON,2008
92,0.0001188001188001188,0.013483813483813483,Kenya,DJF,2008
93,0.000646298472385429,0.013748531139835488,Kenya,MAM,2008
94,0.00035252643948296123,0.016039952996474732,Kenya,JJA,2008
95,0.000297000297000297,0.04080784080784081,Kenya,SON,2008
96,5.894488653109343e-05,0.018626584143825523,Ethiopia,DJF,2009
97,0.0006342982354976359,0.010321762195825165,Ethiopia,MAM,2009
98,0.0008649521393149579,0.016347595433052704,Ethiopia,JJA,2009
99,0.0003789314134141721,0.029090273122103362,Ethiopia,SON,2009
100,0.0,0.01111111111111111,Somalia,DJF,2009
101,0.0011664899257688229,0.015217391304347825,Somalia,MAM,2009
102,0.00021208907741251324,0.012301166489925769,Somalia,JJA,2009
103,0.000375234521575985,0.033985526668453496,Somalia,SON,2009
104,0.0,0.006666666666666665,Kenya,DJF,2009
105,0.0009400705052878966,0.006345475910693302,Kenya,MAM,2009
106,0.00011750881316098707,0.0035840188014101054,Kenya,JJA,2009
107,0.00017820017820017821,0.025779625779625785,Kenya,SON,2009
